No.,Blackboard_instructor_account,Password,Computing_Id,BB_User_role,User_account_type,Section,,,,
1,1000000001,password,s1000000001,Student,,,,,,
2,1000000002,password,s1000000002,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
3,1000000003,password,s1000000003,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
4,1000000004,password,s1000000004,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
5,1000000005,password,s1000000005,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
6,1000000006,password,s1000000006,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
7,1000000007,password,s1000000007,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
8,1000000008,password,s1000000008,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
9,1000000009,password,s1000000009,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
10,1000000010,password,s1000000010,Student,"CUSIS, Blackboard",-,-T01,-T02,-T03,
11,1000000011,password,s1000000011,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
12,1000000012,password,s1000000012,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
13,1000000013,password,s1000000013,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
14,1000000014,password,s1000000014,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
15,1000000015,password,s1000000015,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
16,1000000016,password,s1000000016,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
17,1000000017,password,s1000000017,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
18,1000000018,password,s1000000018,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
19,1000000019,password,s1000000019,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
20,1000000020,password,s1000000020,Student,"CUSIS, Blackboard",-,-T05,-T06,-T07,
21,1000000021,password,s1000000021,Student,"CUSIS, Blackboard",-,-T01,-T09,-T10,-T11
22,1000000022,password,s1000000022,Student,"CUSIS, Blackboard",-,-T09,-T10,-T11,
23,1000000023,password,s1000000023,Student,"CUSIS, Blackboard",-,-T09,-T10,-T11,
24,1000000024,password,s1000000024,Student,"CUSIS, Blackboard",-,-T09,-T10,-T11,
25,1000000025,password,s1000000025,Student,"CUSIS, Blackboard",,,,,
26,1000000026,password,s1000000026,Student,Blackboard only,-,-T09,-T10,-T11,
27,1000000027,password,s1000000027,Student,Blackboard only,-,-T09,-T10,-T11,
28,1000000028,password,s1000000028,Student,Blackboard only,-,-T09,-T10,-T11,
29,1000000029,password,s1000000029,Student,Blackboard only,-,-T09,-T10,-T11,
30,1000000030,password,s1000000030,Student,Blackboard only,-,-T09,-T10,-T11,
31,1000000031,password,s1000000031,Student,"CUSIS, Blackboard",-,-T01,-T12,,
32,1000000032,password,s1000000032,Student,"CUSIS, Blackboard",-,-T01,-T12,,
33,1000000033,password,s1000000033,Student,"CUSIS, Blackboard",-,-T01,-T12,,
34,1000000034,password,s1000000034,Student,"CUSIS, Blackboard",-,-T01,-T12,,
35,1000000035,password,s1000000035,Student,"CUSIS, Blackboard",-,-T01,-T12,,
36,1000000036,password,s1000000036,Student,"CUSIS, Blackboard",-,-T01,-T12,,
37,1000000037,password,s1000000037,Student,"CUSIS, Blackboard",-,-T01,-T12,,
38,1000000038,password,s1000000038,Student,"CUSIS, Blackboard",-,-T01,-T12,,
39,1000000039,password,s1000000039,Student,"CUSIS, Blackboard",-,-T01,-T12,,
40,1000000040,password,s1000000040,Student,"CUSIS, Blackboard",-,-T01,-T12,,
