No.,Blackboard_instructor_account,Password,Computing_Id,BB_User_role,User_account_type,Course
1,1000000001,password,s1000000001,Student,"CUSIS, Blackboard",_68_1
2,1000000002,password,s1000000002,Student,"CUSIS, Blackboard",_68_1
3,1000000003,password,s1000000003,Student,"CUSIS, Blackboard",_68_1
4,1000000004,password,s1000000004,Student,"CUSIS, Blackboard",_68_1
5,1000000005,password,s1000000005,Student,"CUSIS, Blackboard",_68_1
6,1000000006,password,s1000000006,Student,"CUSIS, Blackboard",_68_1
7,1000000007,password,s1000000007,Student,"CUSIS, Blackboard",_68_1
8,1000000008,password,s1000000008,Student,"CUSIS, Blackboard",_68_1
9,1000000009,password,s1000000009,Student,"CUSIS, Blackboard",_68_1
10,1000000010,password,s1000000010,Student,"CUSIS, Blackboard",_68_1
11,1000000011,password,s1000000011,Student,"CUSIS, Blackboard",_68_1
12,1000000012,password,s1000000012,Student,"CUSIS, Blackboard",_68_1
13,1000000013,password,s1000000013,Student,"CUSIS, Blackboard",_68_1
14,1000000014,password,s1000000014,Student,"CUSIS, Blackboard",_68_1
15,1000000015,password,s1000000015,Student,"CUSIS, Blackboard",_68_1
16,1000000016,password,s1000000016,Student,"CUSIS, Blackboard",_68_1
17,1000000017,password,s1000000017,Student,"CUSIS, Blackboard",_68_1
18,1000000018,password,s1000000018,Student,"CUSIS, Blackboard",_68_1
19,1000000019,password,s1000000019,Student,"CUSIS, Blackboard",_68_1
20,1000000020,password,s1000000020,Student,"CUSIS, Blackboard",_68_1
21,1000000021,password,s1000000021,Student,"CUSIS, Blackboard",_68_1
22,1000000022,password,s1000000022,Student,"CUSIS, Blackboard",_68_1
23,1000000023,password,s1000000023,Student,"CUSIS, Blackboard",_68_1
24,1000000024,password,s1000000024,Student,"CUSIS, Blackboard",_68_1
25,1000000025,password,s1000000025,Student,"CUSIS, Blackboard",_68_1
26,1000000026,password,s1000000026,Student,Blackboard only,_68_1
27,1000000027,password,s1000000027,Student,Blackboard only,_68_1
28,1000000028,password,s1000000028,Student,Blackboard only,_68_1
29,1000000029,password,s1000000029,Student,Blackboard only,_68_1
30,1000000030,password,s1000000030,Student,Blackboard only,_68_1
31,1000000031,password,s1000000031,Student,"CUSIS, Blackboard",_68_1
32,1000000032,password,s1000000032,Student,"CUSIS, Blackboard",_68_1
33,1000000033,password,s1000000033,Student,"CUSIS, Blackboard",_68_1
34,1000000034,password,s1000000034,Student,"CUSIS, Blackboard",_68_1
35,1000000035,password,s1000000035,Student,"CUSIS, Blackboard",_68_1
36,1000000036,password,s1000000036,Student,"CUSIS, Blackboard",_68_1
37,1000000037,password,s1000000037,Student,"CUSIS, Blackboard",_68_1
38,1000000038,password,s1000000038,Student,"CUSIS, Blackboard",_68_1
39,1000000039,password,s1000000039,Student,"CUSIS, Blackboard",_68_1
40,1000000040,password,s1000000040,Student,"CUSIS, Blackboard",_68_1
41,1000000041,password,s1000000041,Student,Database,_68_1
42,1000000042,password,s1000000042,Student,Database,_68_1
43,1000000043,password,s1000000043,Student,Database,_68_1
44,1000000044,password,s1000000044,Student,Database,_68_1
45,1000000045,password,s1000000045,Student,Database,_68_1
46,1000000046,password,s1000000046,Student,Database,_68_1
47,1000000047,password,s1000000047,Student,Database,_68_1
48,1000000048,password,s1000000048,Student,Database,_68_1
49,1000000049,password,s1000000049,Student,Database,_68_1
50,1000000050,password,s1000000050,Student,Database,_68_1
51,1000000051,password,s1000000051,Student,Database,_68_1
52,1000000052,password,s1000000052,Student,Database,_68_1
53,1000000053,password,s1000000053,Student,Database,_68_1
54,1000000054,password,s1000000054,Student,Database,_68_1
55,1000000055,password,s1000000055,Student,Database,_68_1
56,1000000056,password,s1000000056,Student,Database,_68_1
57,1000000057,password,s1000000057,Student,Database,_68_1
58,1000000058,password,s1000000058,Student,Database,_68_1
59,1000000059,password,s1000000059,Student,Database,_68_1
60,1000000060,password,s1000000060,Student,Database,_68_1
61,1000000061,password,s1000000061,Student,Database,_68_1
62,1000000062,password,s1000000062,Student,Database,_68_1
63,1000000063,password,s1000000063,Student,Database,_68_1
64,1000000064,password,s1000000064,Student,Database,_68_1
65,1000000065,password,s1000000065,Student,Database,_68_1
66,1000000066,password,s1000000066,Student,Database,_68_1
67,1000000067,password,s1000000067,Student,Database,_68_1
68,1000000068,password,s1000000068,Student,Database,_68_1
69,1000000069,password,s1000000069,Student,Database,_68_1
70,1000000070,password,s1000000070,Student,Database,_68_1
71,1000000071,password,s1000000071,Student,Database,_68_1
72,1000000072,password,s1000000072,Student,Database,_68_1
73,1000000073,password,s1000000073,Student,Database,_68_1
74,1000000074,password,s1000000074,Student,Database,_68_1
75,1000000075,password,s1000000075,Student,Database,_68_1
76,1000000076,password,s1000000076,Student,Database,_68_1
77,1000000077,password,s1000000077,Student,Database,_68_1
78,1000000078,password,s1000000078,Student,Database,_68_1
79,1000000079,password,s1000000079,Student,Database,_68_1
80,1000000080,password,s1000000080,Student,Database,_68_1
81,1000000081,password,s1000000081,Student,Database,_68_1
82,1000000082,password,s1000000082,Student,Database,_68_1
83,1000000083,password,s1000000083,Student,Database,_68_1
84,1000000084,password,s1000000084,Student,Database,_68_1
85,1000000085,password,s1000000085,Student,Database,_68_1
86,1000000086,password,s1000000086,Student,Database,_68_1
87,1000000087,password,s1000000087,Student,Database,_68_1
88,1000000088,password,s1000000088,Student,Database,_68_1
89,1000000089,password,s1000000089,Student,Database,_68_1
90,1000000090,password,s1000000090,Student,Database,_68_1
91,1000000091,password,s1000000091,Student,Database,_68_1
92,1000000092,password,s1000000092,Student,Database,_68_1
93,1000000093,password,s1000000093,Student,Database,_68_1
94,1000000094,password,s1000000094,Student,Database,_68_1
95,1000000095,password,s1000000095,Student,Database,_68_1
96,1000000096,password,s1000000096,Student,Database,_68_1
97,1000000097,password,s1000000097,Student,Database,_68_1
98,1000000098,password,s1000000098,Student,Database,_68_1
99,1000000099,password,s1000000099,Student,Database,_68_1
100,1000000100,password,s1000000100,Student,Database,_68_1
101,1000000101,password,s1000000101,Student,Database,_69_1
102,1000000102,password,s1000000102,Student,Database,_69_1
103,1000000103,password,s1000000103,Student,Database,_69_1
104,1000000104,password,s1000000104,Student,Database,_69_1
105,1000000105,password,s1000000105,Student,Database,_69_1
106,1000000106,password,s1000000106,Student,Database,_69_1
107,1000000107,password,s1000000107,Student,Database,_69_1
108,1000000108,password,s1000000108,Student,Database,_69_1
109,1000000109,password,s1000000109,Student,Database,_69_1
110,1000000110,password,s1000000110,Student,Database,_69_1
111,1000000111,password,s1000000111,Student,Database,_69_1
112,1000000112,password,s1000000112,Student,Database,_69_1
113,1000000113,password,s1000000113,Student,Database,_69_1
114,1000000114,password,s1000000114,Student,Database,_69_1
115,1000000115,password,s1000000115,Student,Database,_69_1
116,1000000116,password,s1000000116,Student,Database,_69_1
117,1000000117,password,s1000000117,Student,Database,_69_1
118,1000000118,password,s1000000118,Student,Database,_69_1
119,1000000119,password,s1000000119,Student,Database,_69_1
120,1000000120,password,s1000000120,Student,Database,_69_1
121,1000000121,password,s1000000121,Student,Database,_69_1
122,1000000122,password,s1000000122,Student,Database,_69_1
123,1000000123,password,s1000000123,Student,Database,_69_1
124,1000000124,password,s1000000124,Student,Database,_69_1
125,1000000125,password,s1000000125,Student,Database,_69_1
126,1000000126,password,s1000000126,Student,Database,_69_1
127,1000000127,password,s1000000127,Student,Database,_69_1
128,1000000128,password,s1000000128,Student,Database,_69_1
129,1000000129,password,s1000000129,Student,Database,_69_1
130,1000000130,password,s1000000130,Student,Database,_69_1
131,1000000131,password,s1000000131,Student,Database,_69_1
132,1000000132,password,s1000000132,Student,Database,_69_1
133,1000000133,password,s1000000133,Student,Database,_69_1
134,1000000134,password,s1000000134,Student,Database,_69_1
135,1000000135,password,s1000000135,Student,Database,_69_1
136,1000000136,password,s1000000136,Student,Database,_69_1
137,1000000137,password,s1000000137,Student,Database,_69_1
138,1000000138,password,s1000000138,Student,Database,_69_1
139,1000000139,password,s1000000139,Student,Database,_69_1
140,1000000140,password,s1000000140,Student,Database,_69_1
141,1000000141,password,s1000000141,Student,Database,_69_1
142,1000000142,password,s1000000142,Student,Database,_69_1
143,1000000143,password,s1000000143,Student,Database,_69_1
144,1000000144,password,s1000000144,Student,Database,_69_1
145,1000000145,password,s1000000145,Student,Database,_69_1
146,1000000146,password,s1000000146,Student,Database,_69_1
147,1000000147,password,s1000000147,Student,Database,_69_1
148,1000000148,password,s1000000148,Student,Database,_69_1
149,1000000149,password,s1000000149,Student,Database,_69_1
150,1000000150,password,s1000000150,Student,Database,_69_1
151,1000000151,password,s1000000151,Student,Database,_69_1
152,1000000152,password,s1000000152,Student,Database,_69_1
153,1000000153,password,s1000000153,Student,Database,_69_1
154,1000000154,password,s1000000154,Student,Database,_69_1
155,1000000155,password,s1000000155,Student,Database,_69_1
156,1000000156,password,s1000000156,Student,Database,_69_1
157,1000000157,password,s1000000157,Student,Database,_69_1
158,1000000158,password,s1000000158,Student,Database,_69_1
159,1000000159,password,s1000000159,Student,Database,_69_1
